Invermay Primary,Public,Primary,-41.4213944,147.1316622
John Calvin School,Private,PandS,-41.4476161,147.1441068
East Launceston Primary,Public,Primary,-41.441661,147.152386
Glen Dhu Primary,Public,Primary,-41.4548827,147.1445607
Oakwood School Norwood,Private,PandS,-41.4515877,147.1602198
Mowbray Heights Primary,Public,Primary,-41.402863,147.133386
Summerdale Primary,Public,Primary,-41.4676676,147.1295881
Youngtown Primary,Public,Primary,-41.4819462,147.1647399
St Leonards Primary,Public,Primary,-41.459724,147.200309
Sacred Heart Primary,Private,Primary,-41.4428091,147.1325949
Riverside Primary,Public,Primary,-41.4115296,147.1006721
West Launceston Primary,Public,Primary,-41.4492203,147.1277155
St Finn Barr's Catholic Primary,Private,Primary,-41.4150777,147.1330978
Ravenswood Heights Primary,Public,Primary,-41.4165968,147.1781487
East Tamar Primary,Public,Primary,-41.3877082,147.1301992
Trevallyn Primary,Public,Primary,-41.4379409,147.1142668
Norwood Primary,Public,Primary,-41.462084,147.174275
Punchbowl Primary,Public,Primary,-41.4523597,147.1654445
Larmenier Catholic School,Private,Primary,-41.4593618,147.1961299
The Launceston Preparatory School,Private,Primary,-41.4372435,147.1580293
Launceston Christian School,Private,PandS,-41.4019257,147.0895855
St Thomas More's Catholic School,Private,Primary,-41.4452892,147.1554923
Scotch Oakburn Primary Campus,Private,PandS,-41.4342062,147.1535223
Waverley Primary,Public,Primary,-41.4334619,147.190087
St Anthony's Catholic School,Private,Primary,-41.406903,147.09596
LC Grammar Primary Campus,Private,PandS,-41.433035,147.150064
